id,category,name,price_tier,neighborhood,opening hour,closing hour,average_rating,good_for_kids
33,Thai,Gelso & Grand,Expensive,Soho,10:30,20:00,5,TRUE
34,Korean,Essential by Chris,Cheap,Gramercy,10:30,17:00,4,TRUE
35,Indian,Antoya,Medium,East Village,10:00,17:00,3,FALSE
36,Chinese,Wendy's,Expensive,West Village,10:00,21:00,5,TRUE
37,Thai,Don Angie,Expensive,Upper East Side,9:30,18:00,5,FALSE
38,Korean,Temple Court,Medium,Chelsea,10:30,20:00,5,TRUE
39,Chinese,Fish Cheeks,Expensive,Upper West Side,9:00,17:00,2,TRUE
40,Mexican,MayRee,Cheap,West Village,9:30,17:00,1,FALSE
41,Mexican,Five Guys,Expensive,Gramercy,9:30,17:00,3,TRUE
42,Mexican,Tartinery,Medium,East Village,10:00,20:00,5,TRUE
43,Spanish,Witherspoon Grill,Cheap,Flushing,10:00,20:00,4,FALSE
44,Chinese,Don Angie,Medium,West Village,11:30,20:00,5,TRUE
45,Japanese,Hello Saigon,Medium,Lower East Side,10:30,21:00,4,TRUE
46,Indian,Take31,Cheap,Upper East Side,10:00,20:00,3,TRUE
47,Mexican,Bonqueria,Medium,Chelsea,11:00,21:00,3,FALSE
48,Korean,Temple Court,Cheap,West Village,11:30,20:00,4,FALSE
49,Mexican,Witherspoon Grill,Cheap,Gramercy,11:30,17:00,4,FALSE
50,Mexican,Don Angie,Expensive,Lower East Side,9:30,21:00,1,TRUE
51,Japanese,Wendy's,Medium,Soho,11:00,17:00,3,TRUE
52,Italian,Su Jeo,Cheap,Tribeca,10:00,20:00,1,FALSE
53,Spanish,Big Wong,Cheap,Chelsea,10:00,20:00,3,TRUE
54,Mexican,Bonqueria,Cheap,Soho,9:00,18:00,5,TRUE
55,Japanese,Take31,Cheap,Greenwich Village,11:00,18:00,5,TRUE
56,Spanish,Su Jeo,Expensive,East Village,11:30,16:00,1,TRUE
57,Thai,MayRee,Expensive,Upper West Side,10:00,16:00,5,TRUE
58,Italian,Bo Ky,Cheap,Tribeca,11:30,21:00,5,TRUE
59,Mexican,Chipotle,Expensive,East Village,9:30,18:00,2,FALSE
60,Indian,Take31,Expensive,Soho,11:30,20:00,5,FALSE
61,Japanese,Kimura,Cheap,Upper West Side,9:00,16:00,2,TRUE
62,Chinese,Antoya,Medium,West Village,9:30,17:00,1,TRUE
63,Spanish,Chipotle,Expensive,West Village,10:00,17:00,2,FALSE
64,Korean,Hello Saigon,Expensive,Soho,9:00,18:00,1,FALSE
65,Japanese,Bo Ky,Cheap,Gramercy,11:30,18:00,5,FALSE
66,Korean,Take31,Expensive,Soho,9:30,17:00,5,TRUE
67,Mexican,Bonqueria,Medium,Lower East Side,9:30,20:00,1,FALSE
68,Italian,Five Guys,Medium,Chelsea,9:00,16:00,5,FALSE
69,Thai,Antoya,Cheap,Upper West Side,10:00,17:00,5,FALSE
70,Italian,Gelso & Grand,Expensive,Tribeca,10:00,17:00,3,TRUE
71,Thai,Fish Cheeks,Expensive,Upper East Side,11:30,20:00,5,FALSE
72,Italian,Tartinery,Cheap,Upper West Side,11:30,16:00,1,TRUE
73,Mexican,Antoya,Medium,West Village,9:30,20:00,4,FALSE
74,Japanese,Bonqueria,Medium,Soho,10:00,16:00,5,FALSE
75,Spanish,Bo Ky,Cheap,Lower East Side,9:00,18:00,5,TRUE
76,Italian,Don Angie,Expensive,Little Italy,10:30,17:00,3,FALSE
77,Japanese,Bo Ky,Expensive,Flushing,11:00,20:00,5,TRUE
78,Chinese,Take31,Expensive,Lower East Side,11:00,18:00,4,TRUE
79,Indian,Take31,Cheap,Tribeca,9:00,21:00,4,TRUE
80,Italian,Antoya,Cheap,Upper West Side,9:30,21:00,3,FALSE
81,Chinese,Kimura,Expensive,Upper East Side,9:00,21:00,2,FALSE
82,Chinese,Gelso & Grand,Medium,Lower East Side,9:00,18:00,4,TRUE
83,Japanese,Hello Saigon,Cheap,Lower East Side,9:00,20:00,2,FALSE
84,Thai,Gelso & Grand,Expensive,Soho,9:00,18:00,5,FALSE
85,Japanese,Bo Ky,Cheap,Chelsea,10:30,20:00,3,FALSE
86,Spanish,Wendy's,Expensive,Gramercy,11:30,21:00,3,FALSE
87,Korean,Su Jeo,Cheap,Upper West Side,10:30,17:00,4,FALSE
88,Spanish,Chipotle,Medium,Gramercy,9:30,17:00,4,TRUE
89,Italian,Temple Court,Cheap,Gramercy,11:30,16:00,3,FALSE
90,Japanese,Su Jeo,Expensive,Chelsea,11:30,17:00,5,TRUE
91,Thai,Su Jeo,Expensive,East Village,11:30,17:00,4,TRUE
92,Korean,Fish Cheeks,Cheap,Lower East Side,11:30,16:00,1,FALSE
93,Japanese,Tartinery,Cheap,Greenwich Village,9:00,17:00,4,TRUE
94,Italian,Tartinery,Cheap,West Village,9:30,20:00,3,TRUE
95,Spanish,Five Guys,Medium,Tribeca,10:30,18:00,1,FALSE
96,Thai,Hello Saigon,Expensive,West Village,10:30,17:00,5,FALSE
97,Indian,MayRee,Expensive,Tribeca,10:30,20:00,4,FALSE
98,Chinese,Don Angie,Cheap,Greenwich Village,10:00,16:00,1,TRUE
99,Korean,Kimura,Medium,East Village,10:30,16:00,5,FALSE
100,Italian,Essential by Chris,Medium,Gramercy,9:00,17:00,4,FALSE
101,Indian,Gelso & Grand,Expensive,Soho,9:30,17:00,1,FALSE
102,Mexican,Don Angie,Medium,East Village,11:30,21:00,4,TRUE
103,Spanish,Don Angie,Cheap,East Village,10:00,18:00,1,TRUE
104,Chinese,Chipotle,Cheap,Flushing,10:30,16:00,1,FALSE
105,Italian,Five Guys,Expensive,Little Italy,10:00,18:00,3,TRUE
106,Japanese,Tartinery,Medium,Little Italy,10:00,21:00,5,FALSE
107,Thai,Bo Ky,Medium,Flushing,9:00,18:00,2,FALSE
108,Korean,Five Guys,Medium,Soho,9:00,17:00,1,TRUE
109,Indian,Bo Ky,Expensive,Tribeca,10:00,20:00,5,TRUE
110,Italian,Su Jeo,Cheap,West Village,10:00,16:00,3,TRUE
111,Italian,Temple Court,Expensive,Gramercy,11:30,21:00,1,FALSE
112,Chinese,Five Guys,Cheap,Chelsea,9:30,21:00,5,TRUE
113,Chinese,Witherspoon Grill,Expensive,West Village,11:00,16:00,3,TRUE
114,Italian,Temple Court,Cheap,Little Italy,9:30,21:00,1,TRUE
115,Chinese,Big Wong,Medium,Little Italy,11:30,17:00,4,TRUE
116,Chinese,Antoya,Expensive,West Village,11:30,17:00,4,TRUE
117,Thai,Witherspoon Grill,Medium,Greenwich Village,11:30,21:00,4,FALSE
118,Spanish,ilili,Cheap,Flushing,11:30,18:00,1,TRUE
119,Spanish,Fish Cheeks,Cheap,Upper East Side,10:30,17:00,4,FALSE
120,Indian,Chipotle,Cheap,East Village,9:00,17:00,4,FALSE
121,Indian,Fish Cheeks,Expensive,West Village,10:00,18:00,4,FALSE
122,Indian,Big Wong,Medium,Flushing,9:00,20:00,3,FALSE
123,Chinese,Su Jeo,Cheap,Upper East Side,11:00,16:00,3,TRUE
124,Korean,Temple Court,Medium,Little Italy,9:00,21:00,4,FALSE
125,Italian,Fish Cheeks,Cheap,Chelsea,11:00,17:00,3,TRUE
126,Indian,Bonqueria,Medium,Upper East Side,9:00,20:00,5,FALSE
127,Italian,Don Angie,Expensive,Little Italy,9:00,18:00,1,FALSE
128,Spanish,Witherspoon Grill,Cheap,West Village,11:00,16:00,2,FALSE
129,Japanese,Fish Cheeks,Cheap,Lower East Side,9:00,20:00,2,TRUE
130,Indian,ilili,Cheap,Flushing,11:00,20:00,3,FALSE
131,Italian,Take31,Cheap,Gramercy,11:30,18:00,3,TRUE
132,Japanese,Chipotle,Cheap,Greenwich Village,10:00,20:00,1,FALSE
133,Italian,Big Wong,Expensive,East Village,9:30,21:00,1,TRUE
134,Korean,Bonqueria,Medium,Chelsea,11:00,20:00,4,TRUE
135,Chinese,Kimura,Expensive,East Village,9:00,21:00,5,FALSE
136,Korean,Temple Court,Medium,Upper East Side,11:30,17:00,4,TRUE
137,Italian,MayRee,Expensive,Tribeca,10:00,17:00,4,TRUE
138,Indian,Kimura,Expensive,Soho,10:00,17:00,1,TRUE
139,Mexican,Don Angie,Medium,Upper East Side,10:00,20:00,3,TRUE
140,Japanese,Su Jeo,Medium,Lower East Side,11:00,18:00,5,FALSE
141,Spanish,Tartinery,Medium,Tribeca,10:00,18:00,5,TRUE
142,Japanese,Bo Ky,Medium,Flushing,9:00,17:00,3,FALSE
143,Spanish,Antoya,Expensive,West Village,10:00,21:00,2,FALSE
144,Korean,Chipotle,Medium,Soho,11:00,17:00,4,FALSE
145,Japanese,Kimura,Expensive,Upper West Side,10:00,17:00,1,TRUE
146,Indian,Gelso & Grand,Cheap,Flushing,11:30,20:00,3,FALSE
147,Korean,ilili,Medium,Soho,10:00,17:00,3,TRUE
148,Italian,Big Wong,Medium,Greenwich Village,10:00,17:00,5,TRUE
149,Italian,Kimura,Expensive,Soho,10:00,16:00,1,TRUE
150,Italian,Gelso & Grand,Cheap,West Village,10:00,21:00,3,FALSE
151,Thai,Hello Saigon,Cheap,Upper West Side,9:00,16:00,3,TRUE
152,Japanese,Essential by Chris,Expensive,Lower East Side,10:00,21:00,5,TRUE
153,Thai,ilili,Medium,Lower East Side,9:30,21:00,1,TRUE
154,Korean,Essential by Chris,Expensive,Upper East Side,10:00,17:00,2,TRUE
155,Korean,Wendy's,Expensive,Soho,10:00,20:00,2,TRUE
156,Italian,Wendy's,Expensive,Upper East Side,9:00,17:00,5,FALSE
157,Mexican,Chipotle,Medium,East Village,11:00,18:00,4,FALSE
158,Chinese,Witherspoon Grill,Medium,Upper West Side,9:00,21:00,5,TRUE
159,Chinese,Don Angie,Cheap,Upper East Side,11:00,18:00,4,TRUE
160,Mexican,Hello Saigon,Cheap,East Village,10:00,18:00,2,TRUE
161,Thai,Bo Ky,Expensive,Upper West Side,10:00,18:00,4,TRUE
162,Indian,Bonqueria,Medium,East Village,9:30,18:00,3,FALSE
163,Thai,Big Wong,Expensive,Gramercy,11:00,17:00,5,FALSE
164,Spanish,Five Guys,Expensive,Little Italy,11:00,18:00,3,TRUE
165,Thai,Kimura,Expensive,Gramercy,11:30,21:00,5,TRUE
166,Japanese,Fish Cheeks,Medium,Soho,10:30,17:00,2,TRUE
167,Mexican,Tartinery,Medium,Greenwich Village,10:30,17:00,3,FALSE
168,Japanese,Essential by Chris,Expensive,Chelsea,11:00,18:00,5,TRUE
169,Spanish,Witherspoon Grill,Cheap,Flushing,11:30,20:00,5,TRUE
170,Korean,Big Wong,Expensive,Greenwich Village,9:00,16:00,1,TRUE
171,Mexican,MayRee,Cheap,Tribeca,9:30,21:00,4,FALSE
172,Chinese,Hello Saigon,Cheap,West Village,10:00,20:00,3,FALSE
173,Spanish,Big Wong,Cheap,West Village,9:30,20:00,4,FALSE
174,Japanese,Hello Saigon,Expensive,Flushing,9:00,17:00,1,TRUE
175,Italian,Kimura,Expensive,Lower East Side,9:30,20:00,1,FALSE
176,Indian,Take31,Cheap,Upper West Side,11:00,20:00,1,TRUE
177,Japanese,Bonqueria,Cheap,Upper West Side,9:00,18:00,1,FALSE
178,Chinese,Essential by Chris,Expensive,Lower East Side,11:30,16:00,4,TRUE
179,Chinese,Hello Saigon,Expensive,Little Italy,10:30,18:00,3,TRUE
180,Korean,Temple Court,Cheap,Soho,9:00,17:00,1,FALSE
181,Italian,Bo Ky,Medium,West Village,10:30,18:00,4,TRUE
182,Japanese,MayRee,Medium,Upper East Side,11:00,21:00,3,FALSE
183,Mexican,Don Angie,Expensive,Flushing,10:30,20:00,1,FALSE
184,Korean,Bo Ky,Medium,Greenwich Village,9:30,20:00,2,FALSE
185,Indian,Wendy's,Cheap,Flushing,11:00,20:00,1,FALSE
186,Italian,MayRee,Expensive,Greenwich Village,11:30,16:00,1,FALSE
187,Mexican,ilili,Medium,Chelsea,10:30,17:00,5,TRUE
188,Indian,Su Jeo,Medium,West Village,9:00,20:00,5,TRUE
189,Mexican,Antoya,Medium,Little Italy,10:30,18:00,4,TRUE
190,Korean,Bo Ky,Expensive,Flushing,11:30,17:00,1,TRUE
191,Italian,Temple Court,Medium,Upper West Side,11:30,20:00,2,FALSE
192,Japanese,Bonqueria,Cheap,Chelsea,10:00,18:00,1,FALSE
193,Spanish,Su Jeo,Expensive,Upper West Side,11:00,20:00,1,TRUE
194,Italian,MayRee,Expensive,East Village,10:00,17:00,1,FALSE
195,Korean,Gelso & Grand,Medium,Greenwich Village,11:30,20:00,2,TRUE
196,Chinese,ilili,Cheap,Flushing,10:00,17:00,3,TRUE
197,Chinese,Don Angie,Medium,West Village,11:00,16:00,3,FALSE
198,Indian,Five Guys,Cheap,Flushing,9:30,20:00,1,FALSE
199,Japanese,Bonqueria,Cheap,Flushing,9:00,17:00,4,TRUE
200,Spanish,Wendy's,Expensive,Upper West Side,10:30,20:00,1,TRUE
201,Spanish,Kimura,Cheap,Gramercy,11:30,17:00,4,TRUE
202,Korean,Kimura,Cheap,Flushing,11:00,18:00,3,TRUE
203,Thai,Essential by Chris,Medium,Lower East Side,10:00,20:00,3,FALSE
204,Italian,Big Wong,Expensive,Greenwich Village,10:00,21:00,3,TRUE
205,Italian,Bonqueria,Cheap,Flushing,11:00,17:00,3,FALSE
206,Chinese,Gelso & Grand,Medium,Greenwich Village,10:00,16:00,5,TRUE
207,Korean,Fish Cheeks,Medium,Flushing,9:00,20:00,5,FALSE
208,Japanese,Kimura,Medium,Upper East Side,9:30,20:00,3,TRUE
209,Indian,Fish Cheeks,Medium,Tribeca,9:00,21:00,1,TRUE
210,Japanese,Five Guys,Expensive,Flushing,11:30,16:00,2,FALSE
211,Japanese,Bonqueria,Expensive,Flushing,11:00,16:00,5,FALSE
212,Spanish,Take31,Cheap,Upper East Side,10:00,20:00,1,FALSE
213,Spanish,ilili,Cheap,Upper West Side,11:00,20:00,5,FALSE
214,Thai,Tartinery,Medium,Upper West Side,10:00,20:00,4,FALSE
215,Spanish,Bo Ky,Medium,East Village,11:30,17:00,2,TRUE
216,Thai,Wendy's,Cheap,East Village,9:00,16:00,2,FALSE
217,Chinese,Kimura,Medium,Upper East Side,10:00,20:00,1,FALSE
218,Thai,Gelso & Grand,Cheap,Little Italy,9:00,18:00,3,FALSE
219,Chinese,Bo Ky,Medium,West Village,11:30,20:00,5,TRUE
220,Japanese,Antoya,Cheap,Tribeca,9:00,20:00,5,FALSE
221,Japanese,Gelso & Grand,Cheap,Lower East Side,9:00,18:00,3,FALSE
222,Mexican,Big Wong,Cheap,Lower East Side,9:00,21:00,4,FALSE
223,Korean,Tartinery,Cheap,Tribeca,9:30,17:00,3,FALSE
224,Thai,Witherspoon Grill,Expensive,Tribeca,11:00,17:00,4,TRUE
225,Korean,Take31,Cheap,Tribeca,11:30,20:00,2,TRUE
226,Indian,Antoya,Expensive,Soho,11:30,17:00,2,FALSE
227,Japanese,Antoya,Expensive,Little Italy,9:30,20:00,5,FALSE
228,Italian,Wendy's,Cheap,Lower East Side,10:00,16:00,2,TRUE
229,Italian,Essential by Chris,Cheap,Flushing,10:00,20:00,1,TRUE
230,Mexican,Su Jeo,Expensive,Chelsea,9:30,21:00,1,TRUE
231,Italian,ilili,Expensive,Soho,9:00,17:00,1,FALSE
232,Mexican,Kimura,Cheap,Lower East Side,9:00,17:00,2,TRUE
233,Korean,Wendy's,Expensive,Tribeca,11:00,16:00,2,FALSE
234,Korean,Kimura,Medium,Little Italy,9:30,20:00,1,FALSE
235,Chinese,Bo Ky,Cheap,Greenwich Village,10:30,20:00,5,FALSE
236,Japanese,Su Jeo,Cheap,Little Italy,11:00,18:00,4,TRUE
237,Spanish,Kimura,Medium,Chelsea,10:00,18:00,2,FALSE
238,Japanese,Wendy's,Expensive,East Village,9:00,16:00,5,TRUE
239,Japanese,Tartinery,Expensive,Flushing,11:00,18:00,2,FALSE
240,Chinese,Essential by Chris,Medium,Greenwich Village,9:00,17:00,3,FALSE
241,Italian,Big Wong,Cheap,Little Italy,10:00,17:00,5,FALSE
242,Mexican,Chipotle,Cheap,Gramercy,9:30,21:00,3,FALSE
243,Indian,Antoya,Cheap,Little Italy,10:00,18:00,1,TRUE
244,Italian,Essential by Chris,Cheap,West Village,11:00,18:00,3,TRUE
245,Japanese,Fish Cheeks,Medium,Upper West Side,11:30,21:00,3,TRUE
246,Indian,Essential by Chris,Medium,Upper East Side,10:00,18:00,4,FALSE
247,Indian,Antoya,Cheap,Little Italy,9:30,17:00,5,FALSE
248,Thai,Take31,Cheap,Upper East Side,10:00,20:00,1,TRUE
249,Italian,Tartinery,Medium,Chelsea,11:30,20:00,5,FALSE
250,Chinese,Essential by Chris,Expensive,Little Italy,10:00,20:00,5,FALSE
251,Italian,Witherspoon Grill,Cheap,Little Italy,11:00,16:00,5,FALSE
252,Spanish,Fish Cheeks,Cheap,West Village,11:00,21:00,3,FALSE
253,Spanish,Bo Ky,Expensive,Flushing,9:30,18:00,1,TRUE
254,Korean,ilili,Expensive,Flushing,10:00,18:00,3,FALSE
255,Spanish,Take31,Cheap,Chelsea,11:00,18:00,2,FALSE
256,Korean,Gelso & Grand,Medium,Lower East Side,11:30,18:00,5,TRUE
257,Indian,Essential by Chris,Medium,Flushing,11:00,20:00,3,FALSE
258,Indian,Kimura,Medium,Flushing,11:00,20:00,4,TRUE
259,Mexican,Essential by Chris,Medium,Lower East Side,10:00,17:00,1,FALSE
260,Thai,Hello Saigon,Cheap,West Village,10:30,17:00,5,FALSE
261,Korean,Don Angie,Cheap,East Village,10:30,20:00,2,TRUE
262,Japanese,Wendy's,Expensive,Tribeca,11:30,20:00,5,TRUE
263,Korean,Witherspoon Grill,Expensive,Lower East Side,9:00,17:00,2,TRUE
264,Indian,Bo Ky,Expensive,Little Italy,10:30,20:00,5,TRUE
265,Mexican,Bo Ky,Cheap,Little Italy,11:30,18:00,2,TRUE
266,Thai,Su Jeo,Expensive,Gramercy,10:00,20:00,5,TRUE
267,Italian,Antoya,Cheap,Lower East Side,9:30,20:00,1,FALSE
268,Japanese,Witherspoon Grill,Expensive,Little Italy,9:30,17:00,1,FALSE
269,Korean,Five Guys,Expensive,Flushing,10:00,16:00,3,TRUE
270,Indian,Big Wong,Cheap,Lower East Side,9:00,20:00,5,FALSE
271,Spanish,Kimura,Expensive,Chelsea,10:00,18:00,4,TRUE
272,Indian,Gelso & Grand,Expensive,Upper East Side,11:30,21:00,4,TRUE
273,Spanish,Bonqueria,Expensive,Upper West Side,10:00,20:00,3,TRUE
274,Thai,Essential by Chris,Cheap,Soho,9:00,18:00,5,FALSE
275,Mexican,ilili,Expensive,Soho,11:00,18:00,3,TRUE
276,Chinese,Bonqueria,Medium,Tribeca,10:00,20:00,4,FALSE
277,Spanish,Antoya,Cheap,Upper East Side,10:00,16:00,4,FALSE
278,Thai,ilili,Medium,Upper East Side,9:30,21:00,4,FALSE
279,Japanese,Wendy's,Cheap,Upper East Side,9:00,20:00,5,TRUE
280,Italian,Su Jeo,Medium,Little Italy,11:30,21:00,5,FALSE
281,Spanish,Five Guys,Cheap,Tribeca,9:30,18:00,5,FALSE
282,Thai,Bo Ky,Expensive,West Village,9:30,16:00,2,TRUE
283,Italian,MayRee,Cheap,Tribeca,9:30,17:00,5,FALSE
284,Spanish,Tartinery,Expensive,Upper East Side,11:30,21:00,3,FALSE
285,Korean,Big Wong,Expensive,Upper East Side,10:30,17:00,3,FALSE
286,Korean,Antoya,Medium,Chelsea,11:30,17:00,1,FALSE
287,Mexican,Bo Ky,Cheap,Soho,9:30,16:00,1,TRUE
288,Italian,Kimura,Medium,Chelsea,10:00,17:00,2,FALSE
289,Korean,Five Guys,Cheap,Gramercy,11:30,21:00,2,FALSE
290,Spanish,Gelso & Grand,Medium,Gramercy,9:30,21:00,1,FALSE
291,Mexican,Big Wong,Medium,Gramercy,10:00,17:00,2,TRUE
292,Indian,Su Jeo,Medium,Flushing,9:30,16:00,1,FALSE
293,Indian,ilili,Medium,Little Italy,9:30,20:00,1,TRUE
294,Korean,Five Guys,Medium,Lower East Side,10:00,18:00,3,TRUE
295,Chinese,MayRee,Expensive,Chelsea,10:30,20:00,4,TRUE
296,Japanese,Witherspoon Grill,Medium,Soho,11:00,17:00,1,TRUE
297,Thai,Bo Ky,Cheap,West Village,9:30,16:00,5,FALSE
298,Chinese,Gelso & Grand,Cheap,Flushing,11:00,17:00,2,TRUE
299,Korean,Gelso & Grand,Medium,Lower East Side,11:30,20:00,1,TRUE
300,Thai,Gelso & Grand,Expensive,Upper West Side,11:30,16:00,1,FALSE
301,Spanish,Kimura,Cheap,Greenwich Village,10:00,20:00,2,TRUE
302,Indian,Antoya,Expensive,Little Italy,10:00,17:00,1,TRUE
303,Thai,Don Angie,Expensive,Upper East Side,10:30,17:00,2,TRUE
304,Japanese,Five Guys,Expensive,Flushing,11:00,18:00,1,FALSE
305,Chinese,Take31,Cheap,Chelsea,9:30,21:00,5,TRUE
306,Mexican,Fish Cheeks,Medium,Soho,10:00,16:00,2,TRUE
307,Thai,Essential by Chris,Expensive,Greenwich Village,10:00,20:00,5,FALSE
308,Mexican,Take31,Medium,Tribeca,10:00,16:00,2,FALSE
309,Thai,Wendy's,Medium,Flushing,10:30,18:00,4,TRUE
310,Spanish,Kimura,Cheap,Soho,9:30,21:00,1,TRUE
311,Korean,Gelso & Grand,Cheap,Little Italy,11:30,17:00,4,FALSE
312,Korean,Kimura,Cheap,Tribeca,9:30,17:00,1,FALSE
313,Italian,Temple Court,Medium,West Village,11:30,17:00,1,FALSE
314,Spanish,ilili,Cheap,West Village,11:00,20:00,5,TRUE
315,Thai,Temple Court,Medium,Upper West Side,10:00,20:00,5,FALSE
316,Chinese,Hello Saigon,Expensive,Greenwich Village,9:30,16:00,4,TRUE
317,Thai,Kimura,Expensive,Upper East Side,10:00,21:00,4,FALSE
318,Japanese,Big Wong,Expensive,Greenwich Village,10:00,17:00,4,TRUE
319,Mexican,Essential by Chris,Medium,East Village,11:30,17:00,4,TRUE
320,Chinese,Take31,Cheap,East Village,9:00,20:00,1,FALSE
321,Spanish,Kimura,Expensive,Gramercy,10:00,18:00,3,FALSE
322,Thai,Don Angie,Expensive,Lower East Side,11:00,17:00,1,TRUE
323,Chinese,Don Angie,Medium,East Village,9:30,21:00,5,TRUE
324,Spanish,Tartinery,Medium,Flushing,11:30,18:00,3,FALSE
325,Spanish,Fish Cheeks,Expensive,Flushing,10:00,18:00,1,FALSE
326,Indian,Bonqueria,Expensive,Greenwich Village,10:00,21:00,1,FALSE
327,Korean,Five Guys,Medium,West Village,11:00,17:00,1,FALSE
328,Spanish,Wendy's,Medium,Little Italy,9:00,20:00,4,TRUE
329,Italian,Big Wong,Medium,Lower East Side,10:00,20:00,5,TRUE
330,Indian,Su Jeo,Cheap,Tribeca,9:00,16:00,3,TRUE
331,Mexican,Witherspoon Grill,Expensive,East Village,10:00,16:00,1,TRUE
332,Mexican,Tartinery,Cheap,Greenwich Village,9:00,20:00,2,TRUE
333,Spanish,Wendy's,Expensive,Upper East Side,11:00,17:00,2,TRUE
334,Indian,Big Wong,Cheap,Gramercy,9:30,16:00,5,TRUE
335,Spanish,Don Angie,Cheap,Soho,11:30,20:00,2,TRUE
336,Spanish,MayRee,Medium,Lower East Side,9:00,17:00,4,FALSE
337,Korean,Don Angie,Cheap,East Village,9:00,18:00,5,TRUE
338,Chinese,Big Wong,Cheap,Little Italy,11:00,20:00,5,FALSE
339,Thai,Kimura,Cheap,Upper West Side,9:00,20:00,5,FALSE
340,Korean,Tartinery,Expensive,Upper West Side,9:00,18:00,1,TRUE
341,Spanish,Bo Ky,Medium,Tribeca,11:30,16:00,2,FALSE
342,Spanish,Bo Ky,Medium,Lower East Side,10:00,18:00,3,FALSE
343,Mexican,Wendy's,Expensive,West Village,9:30,20:00,3,TRUE
344,Korean,Hello Saigon,Expensive,Flushing,9:00,17:00,1,TRUE
345,Italian,ilili,Medium,Lower East Side,9:00,16:00,4,TRUE
346,Thai,MayRee,Cheap,Lower East Side,10:00,18:00,3,TRUE
347,Indian,Antoya,Medium,Chelsea,10:00,17:00,4,FALSE
348,Korean,Chipotle,Expensive,Upper West Side,9:30,20:00,4,TRUE
349,Spanish,Hello Saigon,Medium,Little Italy,11:30,18:00,3,FALSE
350,Japanese,Antoya,Expensive,Upper East Side,10:00,17:00,5,FALSE
351,Indian,Hello Saigon,Expensive,Greenwich Village,9:00,18:00,5,FALSE
352,Spanish,Tartinery,Medium,Greenwich Village,10:00,17:00,2,FALSE
353,Japanese,Fish Cheeks,Expensive,West Village,11:00,21:00,5,FALSE
354,Thai,Five Guys,Expensive,Gramercy,9:30,20:00,3,FALSE
355,Mexican,Witherspoon Grill,Cheap,Upper West Side,11:30,18:00,4,TRUE
356,Indian,Essential by Chris,Expensive,Lower East Side,9:30,17:00,3,FALSE
357,Spanish,Fish Cheeks,Medium,Tribeca,9:30,20:00,2,TRUE
358,Mexican,ilili,Expensive,East Village,10:00,21:00,1,TRUE
359,Indian,Essential by Chris,Expensive,Little Italy,10:00,17:00,2,FALSE
360,Korean,Su Jeo,Cheap,Gramercy,11:30,20:00,4,TRUE
361,Italian,ilili,Medium,West Village,9:30,17:00,3,TRUE
